model,precision,recall,f1,pr_auc,roc_auc,expected_cost_at_0.5
logistic_regression,0.0378619153674833,0.9272727272727272,0.07275320970042796,0.8371646937733951,0.981099532878189,32513.69
random_forest,0.6521739130434783,0.8181818181818182,0.7258064516129032,0.8587964933943729,0.9811397429974505,1000.57
lightgbm,0.10432569974554708,0.7454545454545455,0.18303571428571427,0.08985679044312368,0.9054138220146125,9987.85
